university_id,university_name,query_text,intent,department,priority
2,Lakeview University,how to pay exam fee online,exam_schedule,Academic Registry,medium
1,Greenfield Institute of Technology,when is the tuition fee due this semester,fee_payment,Finance & Accounts,high
1,Greenfield Institute of Technology,placement registration last date,placement_info,Career Services,low
2,Lakeview University,annual fee structure kya hai,fee_payment,Bursary Office,high
2,Lakeview University,I disagree with my result what can I do,revaluation_request,Academic Registry,high
1,Greenfield Institute of Technology,hostel warden ne galat fine laga di,grievance,Student Affairs,high
1,Greenfield Institute of Technology,partial fee payment allowed?,fee_payment,Finance & Accounts,high
2,Lakeview University,open elective list kahan milegi,course_registration,Information Technology,medium
2,Lakeview University,attendance mismatch in portal how to correct,attendance_policy,Student Welfare,medium
2,Lakeview University,hostel curfew time kya hai,hostel_booking,Residential Services,medium
2,Lakeview University,how to apply for attendance exemption,attendance_policy,Student Welfare,medium
1,Greenfield Institute of Technology,how to escalate an unresolved complaint,grievance,Student Affairs,high
2,Lakeview University,How much is the late fine per day?,fee_payment,Bursary Office,high
1,Greenfield Institute of Technology,i want to know about scholarship last date,scholarship_inquiry,Finance & Accounts,high
2,Lakeview University,can I change my hostel room,hostel_booking,Residential Services,medium
2,Lakeview University,can I check my attendance subject wise,attendance_policy,Student Welfare,medium
2,Lakeview University,what is detain policy for low attendance,attendance_policy,Student Welfare,medium
2,Lakeview University,paid fees but portal still shows due,fee_payment,Bursary Office,high
1,Greenfield Institute of Technology,admission process for postgraduate programs,admission_query,Student Affairs,medium
1,Greenfield Institute of Technology,duplicate fee receipt kaise milegi,fee_payment,Finance & Accounts,high
2,Lakeview University,revaluation se marks badh sakte hain kya,revaluation_request,Academic Registry,high
1,Greenfield Institute of Technology,revaluation ke liye apply karne ki last date,revaluation_request,Examination Cell,high
1,Greenfield Institute of Technology,library timing kya hai,library_access,Library,low
2,Lakeview University,total fees for one year,fee_payment,Bursary Office,high
2,Lakeview University,document verification for job,document_request,Academic Registry,medium
2,Lakeview University,scholarship form kahan se milegi,scholarship_inquiry,Bursary Office,high
1,Greenfield Institute of Technology,how to apply for supplementary exam,exam_schedule,Examination Cell,medium
2,Lakeview University,hostel mein wifi hai kya,hostel_booking,Residential Services,medium
2,Lakeview University,library mein kitni books mil sakti hain,library_access,Digital Library,low
2,Lakeview University,revaluation application kahan jama karein,revaluation_request,Academic Registry,high
1,Greenfield Institute of Technology,backlog hai toh placement mil sakti hai,placement_info,Career Services,low
1,Greenfield Institute of Technology,how many books can I borrow from library,library_access,Library,low
1,Greenfield Institute of Technology,entrance exam required for admission,admission_query,Student Affairs,medium
1,Greenfield Institute of Technology,library membership renewal process,library_access,Library,low
2,Lakeview University,library membership renewal process,library_access,Digital Library,low
1,Greenfield Institute of Technology,accepted payment modes for fee,fee_payment,Finance & Accounts,high
1,Greenfield Institute of Technology,how many credits can I register for,course_registration,Computer Science & Engineering,medium
2,Lakeview University,can third year students sit in placements,placement_info,Placement Cell,low
1,Greenfield Institute of Technology,foreign national admission process,admission_query,Student Affairs,medium
2,Lakeview University,duplicate marksheet kaise milegi,document_request,Academic Registry,medium
2,Lakeview University,anonymous complaint dene ka option hai kya,grievance,Student Welfare,high
2,Lakeview University,scholarship kitni milegi mujhe,scholarship_inquiry,Bursary Office,high
1,Greenfield Institute of Technology,fee jama karne ki last date kya hai,fee_payment,Finance & Accounts,high
2,Lakeview University,what items can i bring to examination hall,exam_schedule,Academic Registry,medium
2,Lakeview University,library mein kitni books mil sakti hain,library_access,Digital Library,low
1,Greenfield Institute of Technology,which department handles placements,placement_info,Career Services,low
1,Greenfield Institute of Technology,audit course kaise register karein,course_registration,Computer Science & Engineering,medium
